State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
Indiana,East North Central,Midwest,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,Yes,No,,4 to 8,Yes,No,Yes,Yes,Slightly agree,4,1,3,5,3,1,1,,1,1,3,19,Moderately Low
Hawaii,Pacific,West,Male,35-44,Male 35-44,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,Don't know,Yes,2 to 3,Yes,No,No,Yes,Strongerly disagree,4,1,1,5,3,3,0,3,3,1,3,23,Average
Connecticut,New England,Northeast,Female,35-44,Female 35-44,Did not complete high school,"At least $15,000 but less than $25,000",Yes,No,No,Don't know,,2 to 3,Yes,No,Yes,Yes,Moderately disagree,6,1,3,5,3,1,0,,3,1,3,20,Average
South Carolina,South Atlantic,South,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,No,No,,No credit cards,,Yes,No,Yes,Strongly agree,6,5,1,5,3,1,1,,3,,1,20,Average
Indiana,East North Central,Midwest,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,2 to 3,Yes,Yes,Yes,Yes,Slightly agree,6,5,3,5,3,3,1,,3,1,3,27,Moderately High
Texas,West South Central,South,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",No,No,,,,1,Yes,No,No,No,Slightly agree,6,1,1,1,1,1,,,,1,2,8,Low
Virginia,South Atlantic,South,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,No,No,2 to 3,No,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,1,1,3,3,3,28,Moderately High
Alaska,Pacific,West,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,4 to 8,Yes,No,No,Yes,Strongly agree,7,1,1,5,3,3,1,,1,1,3,19,Moderately Low
Arkansas,West South Central,South,Female,35-44,Female 35-44,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,,9 to 12,Yes,No,No,Yes,Strongly agree,6,1,1,5,3,3,1,,3,1,1,19,Moderately Low
Maryland,South Atlantic,South,Male,18-24,Male 18-24,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,,1,Yes,No,No,Yes,Slightly agree,6,1,1,5,3,3,1,,3,1,2,20,Average
Colorado,Mountain,West,Female,35-44,Female 35-44,"Some college, no degree","Less than $15,000",No,No,,,,No credit cards,,No,No,Yes,Strongly agree,5,1,1,5,1,1,,,,,1,10,Low
Ohio,East North Central,Midwest,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,2 to 3,No,No,No,No,Slightly agree,5,1,1,1,3,3,1,,3,3,3,19,Moderately Low
Arizona,Mountain,West,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,Yes,Yes,Yes,4 to 8,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,3,3,3,1,1,3,24,Average
Vermont,New England,Northeast,Female,35-44,Female 35-44,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,Yes,No,,2 to 3,No,No,Yes,Yes,Neither agree nor disagree,5,1,3,5,3,3,1,,1,3,3,23,Average
Oregon,Pacific,West,Female,25-34,Female 25-34,"Some college, no degree","At least $15,000 but less than $25,000",Yes,No,No,No,,1,Yes,No,No,No,Slightly agree,3,1,1,1,3,1,1,,3,1,2,14,Moderately Low
Arkansas,West South Central,South,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,4 to 8,Yes,No,No,Yes,Slightly agree,4,1,1,5,3,1,1,,1,1,3,17,Moderately Low
Alaska,Pacific,West,Female,55-64,Female 55-64,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,No,Yes,Neither agree nor disagree,3,5,1,5,3,3,3,3,3,1,3,30,Moderately High
New Jersey,Middle Atlantic,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,2 to 3,Yes,Yes,No,Yes,Slightly agree,6,5,1,5,3,3,1,3,3,1,3,28,Moderately High
Indiana,East North Central,Midwest,Female,25-34,Female 25-34,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,Yes,No,No,4 to 8,Yes,No,No,Yes,Slightly agree,4,1,1,5,3,3,1,1,1,1,3,20,Average
Alabama,East South Central,South,Male,25-34,Male 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Moderately agree,5,1,1,5,3,1,1,,1,,1,14,Moderately Low
Iowa,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,Yes,1,Yes,No,No,No,Strongly agree,4,1,1,1,3,3,1,3,3,1,2,19,Moderately Low
Iowa,West North Central,Midwest,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,Yes,Don't know,Yes,Moderately agree,4,5,0,5,3,3,1,,3,,1,21,Average
Washington,Pacific,West,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,2 to 3,No,No,No,No,Strongly agree,5,1,1,1,3,3,1,,1,3,3,17,Moderately Low
Illinois,East North Central,Midwest,Male,35-44,Male 35-44,"Some college, no degree","At least $150,000 but less than $200,000",Yes,Yes,No,Yes,No,13 to 20,Yes,Yes,No,Yes,Neither agree nor disagree,5,5,1,5,3,3,3,1,3,1,0,25,Average
Illinois,East North Central,Midwest,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,No,No,,No credit cards,,No,No,Yes,Slightly agree,4,1,1,5,3,1,1,,3,,1,16,Moderately Low
Kentucky,East South Central,South,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Strongly agree,6,1,1,5,3,3,1,,3,,1,18,Moderately Low
Minnesota,West North Central,Midwest,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",No,Yes,,No,,No credit cards,,No,Yes,No,Neither agree nor disagree,5,1,3,1,1,3,1,,,,1,11,Low
North Dakota,West North Central,Midwest,Male,35-44,Male 35-44,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,Yes,1,No,No,No,Yes,Slightly agree,3,1,1,5,3,3,1,3,1,3,2,23,Average
Mississippi,East South Central,South,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,Prefer not to say,No,,Don't know,,No,Yes,Yes,Slightly agree,4,1,3,5,3,1,1,,0,,0,14,Moderately Low
New York,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,1,No,Yes,No,No,Strongly agree,7,5,1,1,3,3,1,,3,3,2,22,Average
Virginia,South Atlantic,South,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,No,Yes,Yes,Moderately agree,7,1,3,5,3,3,3,3,3,1,3,28,Moderately High
Texas,West South Central,South,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",No,No,,,,No credit cards,,No,No,No,Strongly agree,5,1,1,1,1,1,,,,,1,6,Low
Oregon,Pacific,West,Female,25-34,Female 25-34,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,4 to 8,No,No,No,No,Neither agree nor disagree,4,1,1,1,3,3,1,,3,3,3,19,Moderately Low
North Dakota,West North Central,Midwest,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,2 to 3,Yes,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,3,1,3,3,1,3,24,Average
Arizona,Mountain,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,2 to 3,Yes,No,No,Yes,Slightly agree,5,1,1,5,3,3,1,3,3,1,3,24,Average
North Dakota,West North Central,Midwest,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,No,No,,1,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,1,1,,3,1,2,18,Moderately Low
Idaho,Mountain,West,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,4 to 8,Yes,Yes,Yes,Yes,Moderately agree,5,5,3,5,3,3,3,,3,1,3,29,Moderately High
New Mexico,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Prefer not to say,Prefer not to say,,Prefer not to say,,Prefer not to say,,Prefer not to say,Don't know,No,Prefer not to say,Prefer not to say,0,0,1,0,0,0,,,,0,1,Very Low
New Mexico,Mountain,West,Male,65+,Male 65+,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,No,,2 to 3,No,Yes,,Yes,Neither agree nor disagree,4,5,,5,3,3,1,,3,3,3,26,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,Yes,No,,1,Yes,No,Yes,No,Neither agree nor disagree,5,1,3,1,3,3,1,,1,1,2,16,Moderately Low
Delaware,South Atlantic,South,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,Don't know,No credit cards,,No,No,Yes,Strongly agree,3,1,1,5,3,3,1,0,1,,1,16,Moderately Low
South Dakota,West North Central,Midwest,Male,45-54,Male 45-54,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,Yes,No,Yes,1,Yes,No,No,Yes,Moderately agree,4,1,1,5,3,3,1,3,1,1,2,21,Average
Vermont,New England,Northeast,Male,45-54,Male 45-54,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,No,4 to 8,Yes,Yes,Yes,Yes,Strongly agree,5,5,3,5,3,3,1,1,3,1,3,28,Moderately High
Vermont,New England,Northeast,Male,18-24,Male 18-24,"Some college, no degree","Less than $15,000",Yes,Yes,No,No,,2 to 3,Yes,No,No,Yes,Slightly agree,4,1,1,5,3,3,1,,3,1,3,21,Average
Kentucky,East South Central,South,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,3,3,3,1,3,30,Moderately High
Maryland,South Atlantic,South,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,No,No,,2 to 3,No,No,Don't know,Yes,Slightly agree,6,1,0,5,3,3,1,,3,3,3,22,Average
Oklahoma,West South Central,South,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"Less than $15,000",No,Yes,,No,,No credit cards,,Yes,Yes,No,Neither agree nor disagree,5,5,3,1,1,3,1,,,,1,15,Moderately Low
Mississippi,East South Central,South,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,1,No,No,No,Yes,Strongly agree,5,1,1,5,3,3,1,,3,3,2,22,Average
Alaska,Pacific,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,1,Yes,No,No,Yes,Slightly disagree,4,1,1,5,3,3,1,,1,1,2,18,Moderately Low
Virginia,South Atlantic,South,Female,25-34,Female 25-34,"Some college, no degree","Less than $15,000",Yes,Yes,Yes,No,,1,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,3,1,,1,1,2,18,Moderately Low
Massachusetts,New England,Northeast,Male,25-34,Male 25-34,Associate's degree,"At least $35,000 but less than $50,000",Yes,Yes,Yes,Yes,Yes,1,No,Yes,No,Yes,Slightly agree,6,5,1,5,3,3,3,3,1,3,2,29,Moderately High
New Mexico,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,No,No,,1,No,No,No,No,Strongly agree,5,1,1,1,3,1,1,,3,3,2,16,Moderately Low
Idaho,Mountain,West,Male,25-34,Male 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,4 to 8,Yes,No,Yes,Yes,Slightly agree,5,1,3,5,3,3,1,,1,1,3,21,Average
North Carolina,South Atlantic,South,Male,25-34,Male 25-34,Associate's degree,"At least $150,000 but less than $200,000",Yes,Yes,Yes,Yes,Yes,4 to 8,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,1,3,3,32,Moderately High
Michigan,East North Central,Midwest,Male,25-34,Male 25-34,Associate's degree,"At least $150,000 but less than $200,000",Yes,Yes,Yes,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,1,3,3,32,Moderately High
Texas,West South Central,South,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,4 to 8,No,Yes,Don't know,Yes,Neither agree nor disagree,4,5,0,5,3,3,1,,3,3,3,26,Average
Wisconsin,East North Central,Midwest,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,1,Yes,No,Yes,No,Neither agree nor disagree,4,1,3,1,3,1,1,,1,1,2,14,Moderately Low
Oklahoma,West South Central,South,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,No credit cards,,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,1,3,3,,1,27,Moderately High
Idaho,Mountain,West,Male,25-34,Male 25-34,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,Yes,2 to 3,Yes,No,No,Yes,Slightly disagree,3,1,1,5,3,3,1,3,3,1,3,24,Average
Colorado,Mountain,West,Female,25-34,Female 25-34,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,2 to 3,Yes,No,No,No,Strongly agree,5,1,1,1,3,3,1,,1,1,3,15,Moderately Low
Kentucky,East South Central,South,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,Yes,Yes,Yes,2 to 3,Yes,No,Yes,Yes,Slightly agree,6,1,3,5,3,3,3,3,1,1,3,26,Average
California,Pacific,West,Male,25-34,Male 25-34,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,Yes,Yes,Yes,2 to 3,Yes,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,3,1,1,3,30,Moderately High
Maryland,South Atlantic,South,Male,35-44,Male 35-44,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,3,3,3,3,3,32,Moderately High
Idaho,Mountain,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,2 to 3,No,Yes,No,Yes,Slightly agree,4,5,1,5,3,3,1,3,3,3,3,30,Moderately High
Iowa,West North Central,Midwest,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,Yes,No,Yes,No credit cards,,No,Yes,Yes,Neither agree nor disagree,5,1,3,5,3,3,1,3,1,,1,21,Average
Alaska,Pacific,West,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,1,No,Yes,,Yes,Strongly agree,6,5,,5,3,3,3,,3,3,2,27,Moderately High
Alaska,Pacific,West,Male,35-44,Male 35-44,Did not complete high school,"At least $15,000 but less than $25,000",Yes,Yes,Yes,Prefer not to say,,No credit cards,,No,Don't know,No,Strongly agree,6,1,0,1,3,3,0,,1,,1,10,Low
Delaware,South Atlantic,South,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,No,No,Yes,2 to 3,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,1,3,3,1,3,26,Average
Georgia,South Atlantic,South,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Don't know,2,1,1,5,3,3,1,,3,,1,18,Moderately Low
Virginia,South Atlantic,South,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,No credit cards,,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,1,,3,,1,22,Average
Nevada,Mountain,West,Male,65+,Male 65+,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,No,No,4 to 8,Yes,No,No,Yes,Strongly agree,6,1,1,5,3,3,1,1,3,1,3,22,Average
New York,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,Yes,No,No,,2 to 3,Yes,No,Yes,No,Slightly agree,5,1,3,1,3,3,1,,3,1,3,19,Moderately Low
Connecticut,New England,Northeast,Male,18-24,Male 18-24,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,No,No,,4 to 8,Yes,No,No,No,Slightly agree,4,1,1,1,3,3,1,,3,1,3,17,Moderately Low
New Jersey,Middle Atlantic,Northeast,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,No,No,,1,No,Yes,No,No,Strongly agree,4,5,1,1,3,1,1,,3,3,2,20,Average
Pennsylvania,Middle Atlantic,Northeast,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Prefer not to say,Prefer not to say,,No,,No credit cards,,Yes,No,No,Strongly agree,7,5,1,1,0,0,1,,,,1,9,Low
North Dakota,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,No,Yes,2 to 3,Yes,No,Don't know,No,Moderately agree,4,1,0,1,3,3,1,3,3,1,3,19,Moderately Low
North Carolina,South Atlantic,South,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,2 to 3,No,Yes,No,Yes,Slightly agree,5,5,1,5,3,3,1,3,3,3,3,30,Moderately High
New Hampshire,New England,Northeast,Male,35-44,Male 35-44,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,No,,1,Prefer not to say,No,No,Yes,Moderately agree,4,1,1,5,3,3,1,,3,0,2,19,Moderately Low
South Carolina,South Atlantic,South,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,No,2 to 3,Yes,No,No,No,Moderately agree,4,1,1,1,3,3,3,1,1,1,3,18,Moderately Low
Texas,West South Central,South,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Slightly agree,5,1,1,5,3,3,1,,3,,1,18,Moderately Low
Georgia,South Atlantic,South,Male,25-34,Male 25-34,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,Yes,Yes,Yes,4 to 8,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,3,3,1,1,3,26,Average
Vermont,New England,Northeast,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,1,Yes,Yes,No,Yes,Strongly agree,7,5,1,5,3,3,1,,3,1,2,24,Average
District of Columbia,South Atlantic,South,Female,35-44,Female 35-44,High school graduate - regular high school diploma,"Less than $15,000",Yes,No,No,No,,1,No,No,No,Yes,Strongly agree,Prefer not to say,1,1,5,3,1,1,,3,3,2,20,Average
North Dakota,West North Central,Midwest,Male,55-64,Male 55-64,"Some college, no degree","Less than $15,000",Yes,Yes,Yes,No,,No credit cards,,No,No,No,Moderately disagree,4,1,1,1,3,3,1,,1,,1,12,Low
California,Pacific,West,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,9 to 12,No,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,3,3,3,3,1,32,Moderately High
Hawaii,Pacific,West,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,9 to 12,Yes,Don't know,No,Yes,Neither agree nor disagree,4,0,1,5,3,3,3,3,3,1,1,23,Average
Indiana,East North Central,Midwest,Male,25-34,Male 25-34,Associate's degree,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,No,4 to 8,No,Yes,Yes,No,Strongly agree,6,5,3,1,3,3,3,1,3,3,3,28,Moderately High
South Carolina,South Atlantic,South,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,Yes,No,,No credit cards,,No,,Yes,Strongly agree,6,1,,5,3,3,1,,1,,1,15,Moderately Low
